Core_id,Ranking,University,Country,City,Region,Score,logo
2011,801-1000,Beijing Jiaotong University,China (Mainland),Beijing,Asia,,https://www.topuniversities.com/sites/default/files/beijing-jiaotong-university_592560cf2aeae70239af525e_small.jpg
2019,801-1000,Beijing University of Chinese Medicine,China (Mainland),Beijing,Asia,,https://www.topuniversities.com/sites/default/files/beijing-university-of-chinese-medicine_592560cf2aeae70239af5266_small.jpg
2014,801-1000,Beijing University of Posts and Telecommunications,China (Mainland),Beijing,Asia,,https://www.topuniversities.com/sites/default/files/beijing-university-of-posts-and-telecommunications_2014_small.jpg
1121,801-1000,Beirut Arab University ,Lebanon,Beirut,Asia,,https://www.topuniversities.com/sites/default/files/beirut-arab-university-_592560cf2aeae70239af4ee5_small.jpg
64,801-1000,Bournemouth University,United Kingdom,Poole,Europe,,https://www.topuniversities.com/sites/default/files/bournemouth-university_592560cf2aeae70239af4ac4_small.jpg
1383,801-1000,Budapest University of Technology and Economics,Hungary,Budapest,Europe,,https://www.topuniversities.com/sites/default/files/budapest-university-of-technology-and-economics_592560cf2aeae70239af4feb_small.jpg
764,801-1000,Ca' Foscari University of Venice ,Italy,Venice,Europe,,https://www.topuniversities.com/sites/default/files/ca-foscari-university-of-venice_764_small.jpg
104,801-1000,Catania University,Italy,Catania,Europe,,https://www.topuniversities.com/sites/default/files/catania-university_592560cf2aeae70239af4aeb_small.jpg
50507,801-1000,Chandigarh University,India,Mohali,Asia,,https://www.topuniversities.com/sites/default/files/chandigarh-university_600ebd4710ca6037cb12c714_small.jpg
40438,801-1000,Chang Jung Christian University,Taiwan,Tainan City,Asia,,https://www.topuniversities.com/sites/default/files/chang-jung-christian-university_5c65353a5c52f30ed41c5bb1_small.jpg
840,801-1000,Charles Sturt University ,Australia,Thurgoona,Oceania,,https://www.topuniversities.com/sites/default/files/charles-sturt-university-_592560cf2aeae70239af4dcc_small.jpg
2003,801-1000,China University of Mining and Technology,China (Mainland),Xuzhou,Asia,,https://www.topuniversities.com/sites/default/files/china-university-of-mining-and-technology_2003_small.jpg
1790,801-1000,Clarkson University,United States,Potsdam,North America,,https://www.topuniversities.com/sites/default/files/clarkson-university_592560cf2aeae70239af5181_small.jpg
806,801-1000,Clemson University,United States,Clemson,North America,,https://www.topuniversities.com/sites/default/files/clemson-university_806_small.jpg
133,801-1000,College of William and Mary,United States,Williamsburg,North America,,https://www.topuniversities.com/sites/default/files/college-of-william-mary_592560cf2aeae70239af4b08_small.jpg
1467,801-1000,Cracow University of Technology (Politechnika Krakowska),Poland,Krakow,Europe,,https://www.topuniversities.com/sites/default/files/cracow-university-of-technology-politechnika-krakowska_592560cf2aeae70239af503e_small.jpg
25529,801-1000,Czech University of Life Sciences in Prague,Czechia,Prague,Europe,,https://www.topuniversities.com/sites/default/files/czech-university-of-life-sciences-in-prague_592560e59988f300e2321abd_small.jpg
153,801-1000,De La Salle University,Philippines,Manila,Asia,,https://www.topuniversities.com/sites/default/files/de-la-salle-university_153_small.jpg
796,801-1000,De Montfort University,United Kingdom,Leicester,Europe,,https://www.topuniversities.com/sites/default/files/de-montfort-university_592560cf2aeae70239af4d9f_small.jpg
160,801-1000,Diponegoro University,Indonesia,Semarang,Asia,,https://www.topuniversities.com/sites/default/files/diponegoro-university_592560cf2aeae70239af4b23_small.jpg
2027,801-1000,Donghua University,China (Mainland),Shanghai,Asia,,https://www.topuniversities.com/sites/default/files/donghua-university_592560cf2aeae70239af526e_small.jpg
33381,801-1000,Duy Tan University,Vietnam,Da Nang,Asia,,https://www.topuniversities.com/sites/default/files/duy-tan-university_59e5a998acb295021d569f1b_small.jpg
14171,801-1000,Edinburgh Napier University,United Kingdom,Edinburgh,Europe,,https://www.topuniversities.com/sites/default/files/ENU-logo-Stacked-200x200px-48x48.jpg
25664,801-1000,Gdańsk University of Technology,Poland,Gdańsk,Europe,,https://www.topuniversities.com/sites/default/files/gdask-university-of-technology_592560e59988f300e2321bdf_small.jpg
226,801-1000,Georgia State University,United States,Atlanta,North America,,https://www.topuniversities.com/sites/default/files/georgia-state-university_592560cf2aeae70239af4b65_small.jpg
24000,801-1000,German Jordanian University,Jordan,Amman,Asia,,https://www.topuniversities.com/sites/default/files/german-jordanian-university_592560e29988f300e2321333_small.jpg
20253,801-1000,Gulf University for Science and Technology,Kuwait,Kuwait City,Asia,,https://www.topuniversities.com/sites/default/files/230328095133am131606GUST-LOGOQS-48x48.jpg
777,801-1000,Hacettepe University ,Turkey,Ankara,Asia,,https://www.topuniversities.com/sites/default/files/hacettepe-university-_592560cf2aeae70239af4d8c_small.jpg
2036,801-1000,Harbin Engineering University,China (Mainland),Harbin,Asia,,https://www.topuniversities.com/sites/default/files/harbin-engineering-university_592560cf2aeae70239af5277_small.jpg
2562,801-1000,"ITESO, Universidad Jesuita de Guadalajara",Mexico,Tlaquepaque,Latin America,,https://www.topuniversities.com/sites/default/files/iteso-universidad-jesuita-de-guadalajara_592560cf2aeae70239af5485_small.jpg
33853,801-1000,Indian Institute of Technology Bhubaneswar,India,Bhubaneswar,Asia,,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bhubaneswar_5a42524bca24f32b064948ed_small.jpg
20307,801-1000,Indiana University–Purdue University Indianapolis,United States,Indianapolis,North America,,https://www.topuniversities.com/sites/default/files/indiana-universitypurdue-university-indianapolis_592560e09988f300e2320b78_small.jpg
2318,801-1000,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,Santo Domingo,Latin America,,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-de-santo-domingo-intec_592560cf2aeae70239af5391_small.jpg
1923,801-1000,International Christian University,Japan,Tokyo,Asia,,https://www.topuniversities.com/sites/default/files/international-christian-university_592560cf2aeae70239af5207_small.jpg
1171,801-1000,Islamic University of Madinah,Saudi Arabia,Madinah,Asia,,https://www.topuniversities.com/sites/default/files/islamic-university-in-madinah_592560cf2aeae70239af4f16_small.jpg
297,801-1000,Istanbul University,Turkey,Istanbul,Asia,,https://www.topuniversities.com/sites/default/files/istanbul-university_592560cf2aeae70239af4bac_small.jpg
22908,801-1000,Jamia Millia Islamia,India,New Delhi,Asia,,https://www.topuniversities.com/sites/default/files/jamia-millia-islamia-new-delhi_592560e19988f300e2320f1d_small.jpg
2518,801-1000,Jordan University of Science & Technology,Jordan,Irbid,Asia,,https://www.topuniversities.com/sites/default/files/jordan-university-of-science-technology_592560cf2aeae70239af545b_small.jpg
1912,801-1000,Kansas State University ,United States,Manhattan,North America,,https://www.topuniversities.com/sites/default/files/kansas-state-university_1912_small.jpg
312,801-1000,Kasetsart University,Thailand,Bangkok,Asia,,https://www.topuniversities.com/sites/default/files/kasetsart-university_312_small.jpg
1454,801-1000,Kaunas University of Technology,Lithuania,Kaunas,Europe,,https://www.topuniversities.com/sites/default/files/kaunas-university-of-technology_1454_small.jpg
14125,801-1000,Kazakh-British Technical University,Kazakhstan,Almaty,Asia,,https://www.topuniversities.com/sites/default/files/kazakh-british-technical-university_592560cf2aeae70239af55d2_small.jpg
317,801-1000,Khon Kaen University,Thailand,Khon Kaen,Asia,,https://www.topuniversities.com/sites/default/files/khon-kaen-university_592560cf2aeae70239af4bc1_small.jpg
